KEY,NAME
ABBLBDDH,AB BANK LIMITED
ABBLBDDHOBU,AB BANK LIMITED
ABBLINBB,AB BANK LIMITED
ABBMMAMC,AL BARID BANK
ABBNCWC1,ABB INVESTMENT N.V.
ABBOFIH1,AROS SECURITIES OY
ABBVUS44,ABBVIE INC.
ABBYGB2L,SANTANDER UK PLC
ABBYGB2LANB,SANTANDER UK PLC
ABBYGB2LDOC,SANTANDER UK PLC
ABBYGB2LGTB,SANTANDER UK PLC
ABBYGB3E,SANTANDER UK PLC
ABBYGB3ERTN,SANTANDER UK PLC
ABBYITT1,ABBEY NATIONAL PLC
ABCADEFF,ABCERNATIONAL BANK PLC
ABCADEFFKTO,ABCERNATIONAL BANK PLC
ABCBBRSP,BANCO ABC BRASIL S.A.
ABCBKYKX,BANCO ABC BRASIL S.A. - CAYMAN ISLA
ABCCGB22,OTKRITIE SECURITIES LIMITED
ABCEGB2L,ABCERNATIONAL BANK PLC
ABCFUGKA,ABC CAPITAL BANK LIMITED
ABCGFRP1,ABF CAPITAL MANAGEMENT
ABCHHKHH,ALLIED BANKING CORPORATION (HONG KO
ABCIBHBM,ABC ISLAMIC BANK (E.C)
ABCJJOAM,ARAB BANKING CORPORATION (JORDAN)
ABCKMUMU,ABC BANKING CORPORATION LTD
ABCLKENA,AFRICAN BANKING CORPORATION LTD
ABCMBHB1,ALLIED BANKING CORPORATION
ABCMESM1,ALLIED BANKING CORPORATION
ABCMGB21,ALLIED BANK PHILIPPINES (UK) PLC
ABCMGUG1,ALLIED BANKING CORPORATION
ABCMPHMM,ALLIED BANKING CORPORATION
ABCNLYLT,AMAN BANK FOR COMMERCE AND INVESTME
ABCNLYLT015,AMAN BANK FOR COMMERCE AND INVESTME
ABCNLYLT017,AMAN BANK FOR COMMERCE AND INVESTME
ABCOBHBM,ARAB BANKING CORPORATION (B.S.C.)
ABCODZAL,ARAB BANKING CORPORATION - ALGERIA
ABCOFRPP,ABCERNATIONAL BANK PARIS BRANCH
ABCOIQB1,ARAB BANKING CORPORATION
ABCOITMM,ABCERNATIONAL BANK PLC-MILAN BR
ABCOTNTT,ARAB BANKING CORPORATION
ABCOTNTT001,ARAB BANKING CORPORATION
ABCOUS33,ARAB BANKING CORPORATION
ABCRLV21,AB.LV CAPITAL MARKETS
ABCTUS31,ABACOERNATIONAL CORPORATION
ABCVJOA1,ABC INVESTMENTS
ABDABDD1,ABDUS SAMAD
ABDHBDD1,ABDUL HAQUE AND SONS LTD.
ABDIAEAD,ABU DHABI ISLAMIC BANK
ABDIGB2L,ADIB UK LIMITED
ABDIIQBA,ABU DHABI ISLAMIC BANK
ABDYBDD1,ABDUL HYE
ABEASDKH,ARAB BANK FOR ECONOMIC DEVELOPMENT 
ABECGB21,ABG SUNDAL COLLIER LIMITED
ABEEUS31,ABG SECURITIES INC.
ABEGFRP1,ABF ASSET MANAGEMENT
ABEMAU21,ABERDEEN ASSET MANAGEMENT LTD
ABENUS31,ABEL/NOSER CORP
ABENUS3N,ABEL/NOSER CORP
ABERBE21,ANTWERPS BEROEPSKREDIET CV
ABFCLT21,ABFC FINANCE
ABFGUS41,ABACUS FINANCIAL GROUP
ABFIGB21,PGMS (GLASGOW) LIMITED
ABFLHKHH,ABERNATIONAL FINANCE LTD
ABFMSGS1,ABERDEEN ASSET MANAGEMENT ASIA LIMI
ABFNGB21,ABIDE FINANCIAL LTD
ABFUMYK1,ABRAR FUTURES SDN BHD
ABGBUS44,ASSOCIATED BANK GREEN BAY N.A.
ABGMDE31,ABACUS GMBH
ABGOESSE,ABENGOA
ABGRDEFF,PIRAEUS BANK SA (FRANKFURT BRANCH)
ABGRGRAA,PIRAEUS BANK SA
ABHPDOS1,ASOCIACION BARAHONA DE AHORROS Y PR
ABHRDOS1,ASOCIACION BONAO DE AHORROS Y PREST
ABIAUS31,ALEX BROWN INVESTMENT MANAGEMENT
ABIBBHBM,AL BARAKA ISLAMIC BANK
ABIEBGS1,ABV INVESTICII EOOD
ABINAEAA,ARAB BANK FOR INVESTMENT AND FOREIG
ABINAEAAAIN,ARAB BANK FOR INVESTMENT AND FOREIG
ABINAEAADXB,ARAB BANK FOR INVESTMENT AND FOREIG
ABINAEAASUK,ARAB BANK FOR INVESTMENT AND FOREIG
ABIVZAJ1,ABAX INVESTMENTS
ABKBDEBB,ALLGEMEINE BEAMTEN KASSE KREDITBANK
ABKFDKK1,ABN AMRO ASSET MANAGEMENT FONDSMAEG
ABKKAEAA,AL AHLI BANK OF KUWAIT.K.S.C.
ABKKAEAD,ALAHLI BANK OF KUWAIT
ABKKKWKW,ALAHLI BANK OF KUWAIT K.S.C.
ABKLCY2N,ALPHA BANK CYPRUS LIMITED
ABKLCY2NLAR,ALPHA BANK CYPRUS LIMITED
ABKLCY2NLIM,ALPHA BANK CYPRUS LIMITED
ABKLCY2NPAP,ALPHA BANK CYPRUS LIMITED
ABKSDEF1,ABK-SYSTEME GESELLSCHAFT FUER AUSBI
ABKZKZK10K5,BTA BANK JSC
ABKZKZKX,BTA BANK JSC
ABKZKZKXSMK,BTA BANK JSC
ABLEUS33,NATEXIS BLEICHROEDER INC.
ABLMBDD1,ABDUL LATIF MIAH
ABLPLT21,AKCINE BENDROVE LIETUVOS PASTAS
ABLTBY22,ABSOLUTBANK
ABLTBY22240,ABSOLUTBANK
ABLVLULL,ABLV BANK LUXEMBOURG S.A.
ABLWBHBM,ALLIED BANK LIMITED
ABMBRUMM,ATLAS BANK LTD
ABMDTRI1,ING MENKUL DEGERLER A.S.
ABMGMGMG,ACCESBANQUE MADAGASCAR
ABMNGB21,ABINGWORTH MANAGEMENT LIMITED
ABMRUS31,ABNER HERRMAN AND BROCK
ABMSUS61,ABM COPRORATE SERVICES
ABMZMZM10MB,BARCLAYS BANK MOCAMBIQUE
ABMZMZM10MN,BARCLAYS BANK MOCAMBIQUE
ABMZMZMA,BARCLAYS BANK MOCAMBIQUE
ABNAAEAA,ABN AMRO BANK N.V. UNITED ARAB EMIR
ABNAAEAAIPC,ABN AMRO BANK N.V. UNITED ARAB EMIR
ABNAAEAD,THE ROYAL BANK OF SCOTLAND PLC UNIT
ABNAAEADAUH,THE ROYAL BANK OF SCOTLAND PLC UNIT
ABNAAEADSHJ,THE ROYAL BANK OF SCOTLAND PLC UNIT
ABNAARBA,ROYAL BANK OF SCOTLAND NV (SUC ARGE
ABNAATWW,THE ROYAL BANK OF SCOTLAND PLC AUST
ABNAAU2B,THE ROYAL BANK OF SCOTLAND N.V. (AU
ABNAAU2BOBU,THE ROYAL BANK OF SCOTLAND N.V. (AU
ABNAAU2S,RBS GROUP (AUSTRALIA) PTY LIMITED
ABNAAU2SOBU,RBS GROUP (AUSTRALIA) PTY LIMITED
ABNAAUE1,CIMB SECURITIES (AUSTRALIA) LIMITED
ABNABE2AIDJ,ABN AMRO BANK N.V. BELGIAN BRANCH
ABNABEBR,THE ROYAL BANK OF SCOTLAND PLC BELG
ABNABRS1,ABN AMRO ESCRITORIO DE REPRESENTACA
ABNABWGA,ABN AMRO BANK BOTSWANA LTD
ABNABWGAIDJ,ABN AMRO BANK BOTSWANA LTD
ABNABWGALTD,ABN AMRO BANK BOTSWANA LTD
ABNACAT10MM,THE ROYAL BANK OF SCOTLAND N.V. (CA
ABNACATT,THE ROYAL BANK OF SCOTLAND N.V. (CA
ABNACATTMTL,THE ROYAL BANK OF SCOTLAND N.V. (CA
ABNACHZ8,THE ROYAL BANK OF SCOTLAND PLC ZURI
ABNACHZ8ZRH,THE ROYAL BANK OF SCOTLAND PLC ZURI
ABNACNSH,THE ROYAL BANK OF SCOTLAND (CHINA) 
ABNACNSHSZN,THE ROYAL BANK OF SCOTLAND (CHINA) 
ABNACWC1,ABN-AMRO TRUST COMPANY
ABNACZPP,THE ROYAL BANK OF SCOTLAND PLC CZEC
ABNADE55,RBS (DEUTSCHLAND) AG
ABNADE55FRA,RBS (DEUTSCHLAND) AG
ABNADEFF,THE ROYAL BANK OF SCOTLAND PLC GERM
ABNADEFFBER,THE ROYAL BANK OF SCOTLAND PLC GERM
ABNAHKAATRY,ABN AMRO BANK N.V. HONG KONG BRANCH
ABNAHKHH,THE ROYAL BANK OF SCOTLAND PLC
ABNAHKHHAAA,THE ROYAL BANK OF SCOTLAND PLC
ABNAIDJA,THE ROYAL BANK OF SCOTLAND N.V. JAK
ABNAIDJASBA,THE ROYAL BANK OF SCOTLAND N.V. JAK
ABNAIE2D,THE ROYAL BANK OF SCOTLAND PLC IREL
ABNAIN21,ABN AMRO BUSINESS SERVICES INDIA PR
ABNAINBB,THE ROYAL BANK OF SCOTLAND N.V. (IN
ABNANL2A,ABN AMRO BANK N.V.
ABNANL2AAGS,ABN AMRO BANK N.V.
ABNANL2R,ABN AMRO BANK N.V.
ABNANZ2X,RBS (NEW ZEALAND) LIMITED
ABNANZA1,ABN AMRO SECURITIES NZ LIMITED.
ABNAPKK1,THE ROYAL BANK OF SCOTLAND LIMITED
ABNAPKK1CIB,THE ROYAL BANK OF SCOTLAND LIMITED
ABNAPLPW,RBS BANK (POLSKA) S.A.
ABNAROBU,RBS BANK (ROMANIA) S.A.
ABNARUMM,ROYAL BANK OF SCOTLAND ZAO
ABNARUMML26,ROYAL BANK OF SCOTLAND ZAO
ABNARUMMSAK,ROYAL BANK OF SCOTLAND ZAO
ABNARUMMSPB,ROYAL BANK OF SCOTLAND ZAO
ABNASESS,THE ROYAL BANK OF SCOTLAND PLC NORD
ABNASG2A,ABN AMRO BANK N.V. SINGAPORE BRANCH
ABNASG2ACMB,ABN AMRO BANK N.V. SINGAPORE BRANCH
ABNASG2AIPC,ABN AMRO BANK N.V. SINGAPORE BRANCH
ABNASGF1,UBS FUTURES SINGAPORE LTD.
ABNASGSG,THE ROYAL BANK OF SCOTLAND PLC SING
ABNASGSGAOA,THE ROYAL BANK OF SCOTLAND PLC SING
ABNASKBX,THE ROYAL BANK OF SCOTLAND PLC SLOV
ABNATHBK,THE ROYAL BANK OF SCOTLAND N.V.
ABNATRIS,ROYAL BANK OF SCOTLAND PLC TURKEY (
ABNAUS33,THE ROYAL BANK OF SCOTLAND N.V. (NE
ABNAUS4C,THE ROYAL BANK OF SCOTLAND N.V. (CH
ABNAUS4CFXO,THE ROYAL BANK OF SCOTLAND N.V. (CH
ABNCNL2A,ABN AMRO CLEARING BANK N.V.
ABNCNL2ASBL,ABN AMRO CLEARING BANK N.V.
ABNGCDKI,ACCESS BANK CONGO DR
ABNGGB2L,THE ACCESS BANK UK LIMITED
ABNGGHAC,ACCESS BANK (GHANA) LIMITED
ABNGNGLA,ACCESS BANK PLC
ABNKKYK1,ALTAJIR BANK
ABNYUS33,NEW YORK COMMERCIAL BANK
ABOCAEAD,AGRICULTURAL BANK OF CHINA DUBAI BR
ABOCCNBJ,AGRICULTURAL BANK OF CHINA
ABOCCNBJ002,AGRICULTURAL BANK OF CHINA
ABOCGB2L,AGRICULTURAL BANK OF CHINA (UK) LIM
ABOCHKHH,AGRICULTURAL BANK OF CHINA LIMITED 
ABOCJPJ1,AGRICULTUAL BANK OF CHINA TOKYO BRA
ABOCKRSE,AGRICULTURAL BANK OF CHINA SEOUL BR
ABOCSGSG,AGRICULTURAL BANK OF CHINA LIMITED
ABOCUS33,AGRICULTURAL BANK OF CHINA NEW YORK
ABOTGB21,ABBOT INVESTMENT MANAGEMENT LIMITED
ABOXJOA1,MOHD FAWAS ABU ENNASER AND PARTNERS
ABPAPKKA,ALLIED BANK LIMITED
ABPAPKKA237,ALLIED BANK LIMITED
ABPCECE1,ASOCIACION DE BANCOS PRIVADOS DEL E
ABPEIDJ1,ABADI PRISMA EKAMANDIRI
ABPHSI21, ARGONOS
ABPIGB21,ABERDEEN PROPERTY INVESTORS
ABPPAEA1,ABRAAJ CAPITAL LIMITED
ABPTNL2H,APG ALGEMENE PENSIOEN GROEP NV
ABPTNL2HAAA,APG ALGEMENE PENSIOEN GROEP NV
ABQQQAQA,AHLI BANK Q.S.C.
ABQQQAQAAIR,AHLI BANK Q.S.C.
ABQQQAQADNB,AHLI BANK Q.S.C.
ABQQQAQAMER,AHLI BANK Q.S.C.
ABRFNL21,ABR FINANCIAL B.V.
ABRKEGC10AL,ALBARAKA BANK EGYPT
ABRKEGCA,ALBARAKA BANK EGYPT
ABRKEGCAAKD,ALBARAKA BANK EGYPT
ABRNIE21,ABBEYLEIX CREDIT UNION LIMITED
ABROSES1,A-BROKERS AB.
ABRSUS41,ABRAHAM AND SONS INC.
ABRUIE21,ABBEYFEALE CREDIT UNION LIMITED
ABSAGB2L,ABSA BANK LIMITED
ABSANAN1,ABSA BANK NAMIBIA LIMITED
ABSAZAJ2,ABSA STOCKBROKERS (PROPRIETARY) LIM
ABSAZAJ3,ABSA CAPITAL SECURITIES
ABSAZAJJ,ABSA BANK LIMITED
ABSAZAJJACS,ABSA BANK LIMITED
ABSBBA22,SPARKASSE BANK DD
ABSCETAA,ADDISERNATIONAL BANK S.C.
ABSDIDJ1,ABADI SEKURITAS ADIMASA
ABSFSLFR,ACCESS BANK SIERRA LEONE LIMITED
ABSGAEAD,HINDUJA BANK (MIDDLE EAST) LTD
ABSGCHGG,HINDUJA BANK (SWITZERLAND) LTD
ABSGCHGGLUZ,HINDUJA BANK (SWITZERLAND) LTD
ABSIGB21,ALEX BROWN AND SONS INVESTMENTS LTD
ABSLRUMM,ABSOLUT BANK
ABSMITM1,A.B.P. SIM MILANO
ABSNGB21,ABERDEEN ASSET MANAGERS LIMITED
ABSRNOK1,ABG SECURITIES LIMITED
ABSUSDKH,AGRICULTURAL BANK OF SUDAN
ABSYHKH1,ABCI SECURITIES COMPANY LIMITED
ABTDGB21,ARBITRADE UK LIMITED
ABTDGB21001,ARBITRADE UK LIMITED
ABTHMYK1,AL ATAS BULLION TRADING HOUSE (L) L
ABTMFRP1,ABERDEEN ASSET MANAGEMENT
ABTPFRP1,APAS BATIMENT TRAVAUX PUBLICS
ABTRZAJ1,ABSA TRUST LIMITED
ABTTUS41,ABBOTT LABORATORIES
ABTZPH21,ABOITIZ EQUITY VENTURES INC.
ABUCSES1,ABG SUNDAL COLLIER AB
ABUSGB21,ABACUS
ABUTGB21,ABERFORTH PARTNERS LLP
ABVRATW1,ALLGEMEINE BAUSPARKASSE RGMBH
ABVSZAJJ,ABVEST ASSOCIATES LTD
ABWHAU21,A.B.S. WHITE AND CO. LTD.
ABXAAU41,AUSTRALIAN BULLION EXCHANGE LIMITED
ABXEGRA1,ABAX SECURITIES S.A.
ABXLJOAA,ABUSHEIKHA EXCHANGE LLC
ABYSETAA,BANK OF ABYSSINIA
ACAAFR21,ACTE IARD
ACABAZ22,ACCESSBANK
ACADGB21,TD ASSET MANAGEMENT LTD
ACAERUMM,BANK OF SAVING AND CREDIT
ACAFDOS1,AGENTE DE CAMBIO TRANSNACIONAL
ACAIPR21,ACESCO CARIBE
ACALUS41,ARBOR CAPITAL MANAGEMENT
ACAMJPJ1,ALLIANCE CAPITAL ASSET MANAGEMENT (
ACANCH21,ACUMEN ASSETS MANAGEMENT S.A.
ACAOMXM1,ACTINVER CASA DE BOLSA SA DE CV
ACAPDOS1,ASOCIACION COTUI DE AHORROS Y PREST
ACARIT21001,CASSA RURALE ED ARTIGIANA DI CANTU 
ACARIT22,CASSA RURALE ED ARTIGIANA DI CANTU 
ACAUDOS1,BANCO DE AHORRO Y CREDITO ALTAS CUM
ACBANO21,ACTA BANK ASA
ACBBUS6L,AMERICAN BUSINESS BANK
ACBIPR22,ANDCAPITAL BANKERNATIONAL CORP
ACBKZML1,AFRICAN COMMERCIAL BANK LTD
ACBLINBB,ABHYUDAYA CO-OPERATIVE BANK LTD.
ACBMDOS1,AGENTE DE CAMBIO R-M
ACBOMXM1,ABACO CASA DE BOLSA
ACBOMXM10G2,ABACO CASA DE BOLSA
ACBRAU31,ACS BROKER SERVICES LIMITED
ACBSVNVC,ACB SECURITIES COMPANY
ACCAAU31,ACORN CAPITAL
ACCBIE2D,ACC BANK PLC
ACCCGHAC,CAL BANK LIMITED
ACCCGHACCBS,CAL BANK LIMITED
ACCDDOS1,AGENTE DE CAMBIO CHECO AND RODRIGUE
ACCEDOS1,AGENTE DE CAMBIO CARIBE EXPRESS
ACCGBGS1,AGENCY FOR CREDIT RATINGS AND ANALY
ACCHDEH1,AQUILA CAPITAL CONCEPTS GMBH
ACCINL21,ACCENT AIGU B.V.
ACCLFRP1,ASSOCIATES COMMERCIAL CORPO LOCAVIA
ACCMSES1,ACCUMULATE AB
ACCNNZ21,ACCIDENT COMPENSATION CORPORATION
ACCOBEB3,ACCORD
ACCPGB21,ACTINVEST CORPORATION LIMITED
ACCRNZ21,ACCESS BROKERAGE LTD
ACCSIT31,BANCA ARETINA DI CREDITO COOPERATIV
ACCTCA61,ACUMEN CAPITAL PARTNERS
ACCUIE21,ACHILL CREDIT UNION LIMITED
ACCXDOS1,AGENTE DE CAMBIO CIBAO EXPRESS
ACDAES21,AXESOR CONOCER PARA DECIDIR SA AXES
ACDCUAUK,ACCORDBANK COMMERCIAL BANK
ACDENPKA,ACE DEVELOPMENT BANK LIMITED
ACDGDOS1,AGENTE DE CAMBIO DARIO GUZMAN
ACDLUS31,ATHENA CAPITAL ADVISORS LLC
ACDPCOB1,ADMINISTRADORA COLOMBIANA DE PENSIO
ACDVDOS1,AGENTE DE CAMBIO DIEGO VASQUEZ
ACECDOS1,AGENTE DE CAMBIO EL EFECTIVO C.POR.
ACEDDOS1,AGENTE DE CAMBIO EURODIVISAS DOMINI
ACEFFRP1,ACER FINANCE SOCIETE ANONYME
ACEGGB21,ACE EUROPEAN GROUP LTD
ACEMFRP1,ACE MANAGEMENT
ACENUS41,AMERICAN CENTURY INVESTMENT MANAGEM
ACEUDOS1,AGENTE DE CAMBIO EXTRANJERO UNICENT
ACFBMYK1,ASIA COMMERCIAL FINANCE (M) BHD
ACFFFRP1,LAUXILIAIRE DU CREDIT FONCIER DE FR
ACFIUS31,ACFERNATIONAL INC.
ACFLGB21,ABIL CORPORATION FINANCE LLP
ACFNFRP1,ACCEA FINANCE SOCIETE ANONYME
ACFOUS31,ACORN FOUNDATION
ACFPDOS1,AGENTE DE CAMBIO FIRST POINT
ACFQDOS1,AGENCIA DE CAMBIO FRANKLIN VASQUEZ
ACFSCY2L,ATLASCAPITAL FINANCIAL SERVICES LIM
ACFXCAW1,ACCU-RATE CORPORATION
ACGAGMGF,ACCESS BANK GAMBIA
ACGCDOS1,AGENTE DE CAMBIO GIROSOL CORPORATIO
ACGEFRP1,ACOFI GESTION
ACGRGB21,ACTINVEST GROUP LIMITED
ACGYGB21,ACERGY TREASURY LIMITED
ACHADOS1,AGENTE DE CAMBIO HNOS DE LOS SANTOS
ACHCCOBB,ACH COLOMBIA S.A.
ACHIHKH1,ANGLO CHINESE SECURITIES
ACHLNL21,ACHMEA BANK HOLDING N.V.
ACHRDOS1,AGENTE DE CAMBIO HERMANOS RODRIGUEZ
ACIAARB1,ABACO CIA. FINANCIERA S.A.
ACIBDOS1,ASOCIACION CIBAO DE AHORROS Y PREST
ACICPHM1,ABACUS CAPITAL AND INVESTMENT CORPO
ACIEGB21,RHYME SYSTEMS LIMITED
ACIGGB21,ANDERSEN CHARNLEY INVESTMENT MANAGE
ACIIDOSD,BANCO DE AHORRO Y CREDITO INMOBILIA
ACILUS61,ALGERT COLDIRON INVESTORS
ACIMGB21,ADAM AND COMPANY INVESTMENT MANAGEM
ACINGB21,ACM INVESTMENTS LIMITED
ACIOMXMM,BANCO ACTINVER SA INSTITUCION DE BA
ACIOMXMMACB,BANCO ACTINVER SA INSTITUCION DE BA
ACIPDOS1,AGENTE DE CAMBIO INVERPLA.S.A
ACIRROB1,ACTIVEERNATIONAL SA
ACISUS51,ACCI SECURITIES
ACIUDOS1,AGENTE DE CAMBIO IMBERT BALBUENA C.
ACIVFRPP,ACCENTURE INSURANCE SERVICES
ACIXUS33,ACI CAPITAL GROUP
ACJCUA2N,PJSC BANK VOSTOK
ACJDDOS1,AGENTE DE CAMBIO JULIO DIAZ
ACJOAZ22,AZERBAIJAN CREDIT BANK
ACJPDOS1,AGENTE DE CAMBIO JULIO PEA A Y ASOC
ACJTAZ22,AGRARKREDIT CLOSED JOINT-STOCK SOCI
ACKEPHM1,I. ACKERMAN AND CO INC
ACKFCAT1,ACKER FINLEY INC
ACKMNOK1,ACTIVE KNOWLEDGE MODELING AS
ACLBKHPP,ACLEDA BANK PLC.
ACLBLALA,ACLEDA BANK (LAO) LTD
ACLCUS31,PARA ADVISORS LLC
ACLEDOS1,AGENTE DE CAMBIO LEONOR
ACLILRLM,ACCESSBANK LIBERIA
ACLRAU2S,AUSTRACLEAR LIMITED
ACLRAU2S201,AUSTRACLEAR LIMITED
ACLRAUSS,AUSTRACLEAR LIMITED
ACMAGB21,ACT MANAGEMENT LIMITED
ACMCCAT1,A.C. MACPHERSON AND CO. INC.
ACMDFRP1,ASSURANCES CREDIT MUTUEL NORD VIE
ACMEDOS1,AGENTE DE CAMBIO MONEYCORPS.
ACMFLUL1,ACM FUND SERVICES S.A.
ACMGNL21,AMSTEL CAPITAL MANAGEMENT B.V.
ACMLUS31,AZIMUTH CAPITAL MANAGEMENT LLC
ACMMDOS1,AGENTE DE CAMBIO MARCOS C. POR A. M
ACMNNL21,AFS CAPITAL MANAGEMENT B.V.
ACMOIE21,AIB CAPITAL MARKETS PUBLIC LIMITED 
